X,Y,Z,azimuth,dip,polarity,formation
6512305.38,5690069.13,144.98,0,0,1,Hu
6512305.38,5690069.13,119.97999999999999,0,0,1,\N
6512305.38,5690069.13,144.38,0,0,1,orSi2
6512305.38,5690069.13,144.07999999999998,0,0,1,Pt
6512305.38,5690069.13,143.48,0,0,1,Sa5
6512305.38,5690069.13,139.38,0,0,1,Si3
6512305.38,5690069.13,138.07999999999998,0,0,1,Si3
6512305.38,5690069.13,136.57999999999998,0,0,1,Si2
6512305.38,5690069.13,133.67999999999998,0,0,1,Sa2
6512305.38,5690069.13,131.88,0,0,1,Sa3
6512305.38,5690069.13,129.98,0,0,1,Sa6
6512305.38,5690069.13,128.48,0,0,1,Sa6
6512305.38,5690069.13,125.67999999999999,0,0,1,Sa6
6512305.38,5690069.13,120.47999999999999,0,0,1,Sa6
6512305.38,5690069.13,142.38,0,0,1,Sa5
6512305.38,5690069.13,135.67999999999998,0,0,1,Si3
6512328.4,5690041.29,145.35,0,0,1,Hu
6512328.4,5690041.29,144.45,0,0,1,Cl1
6512328.4,5690041.29,120.35,0,0,1,\N
6512328.4,5690041.29,144.95,0,0,1,Pt
6512328.4,5690041.29,143.45,0,0,1,Si1
6512328.4,5690041.29,141.95,0,0,1,Sa5
6512328.4,5690041.29,140.54999999999998,0,0,1,Sa2
6512328.4,5690041.29,139.04999999999998,0,0,1,orSi2
6512328.4,5690041.29,137.54999999999998,0,0,1,Si2
6512328.4,5690041.29,136.65,0,0,1,Si2
6512328.4,5690041.29,133.65,0,0,1,Sa3
6512328.4,5690041.29,132.25,0,0,1,Sa3
6512328.4,5690041.29,127.64999999999999,0,0,1,Sa6
6512328.4,5690041.29,121.64999999999999,0,0,1,Sa6
6512328.4,5690041.29,123.44999999999999,0,0,1,Si4
6512328.4,5690041.29,120.75,0,0,1,Si3
6512328.4,5690041.29,141.45,0,0,1,Sa4b
6512328.4,5690041.29,139.75,0,0,1,Sa3
6512328.4,5690041.29,138.35,0,0,1,Si3
6512328.4,5690041.29,136.25,0,0,1,Si3
6512328.4,5690041.29,135.35,0,0,1,Si2
6512328.4,5690041.29,135.04999999999998,0,0,1,Si3
6512328.4,5690041.29,134.04999999999998,0,0,1,Si2
6512328.4,5690041.29,125.35,0,0,1,Sa6
6512322.01,5690094.19,145.23,0,0,1,Hu
6512322.01,5690094.19,144.73,0,0,1,Cl2
6512322.01,5690094.19,115.22999999999999,0,0,1,\N
6512322.01,5690094.19,144.42999999999998,0,0,1,Si2
6512322.01,5690094.19,144.13,0,0,1,Sa1b
6512322.01,5690094.19,143.63,0,0,1,Sa4b
6512322.01,5690094.19,142.32999999999998,0,0,1,Sa5
6512322.01,5690094.19,140.13,0,0,1,Sa6
6512322.01,5690094.19,138.92999999999998,0,0,1,Si3
6512322.01,5690094.19,137.42999999999998,0,0,1,Si2
6512322.01,5690094.19,135.53,0,0,1,Si1
6512322.01,5690094.19,134.13,0,0,1,Si3
6512322.01,5690094.19,133.32999999999998,0,0,1,Sa2
6512322.01,5690094.19,132.23,0,0,1,Sa3
6512322.01,5690094.19,128.82999999999998,0,0,1,Sa5
6512322.01,5690094.19,127.82999999999998,0,0,1,Sa6
6512322.01,5690094.19,123.32999999999998,0,0,1,Cl4
6512322.01,5690094.19,121.32999999999998,0,0,1,Pt
6512322.01,5690094.19,120.82999999999998,0,0,1,Sa6
6512322.01,5690094.19,120.32999999999998,0,0,1,Sa6
6512322.01,5690094.19,118.42999999999999,0,0,1,Si3
6512322.01,5690094.19,125.82999999999998,0,0,1,Sa5
6512361.87,5690061.55,144.85,0,0,1,Hu
6512361.87,5690061.55,144.45,0,0,1,Pt
6512361.87,5690061.55,143.15,0,0,1,Sa1b
6512361.87,5690061.55,142.75,0,0,1,Sa2
6512361.87,5690061.55,139.45,0,0,1,Si3
6512361.87,5690061.55,137.75,0,0,1,Si3
6512361.87,5690061.55,134.65,0,0,1,Si3
6512361.87,5690061.55,133.25,0,0,1,Sa3
6512361.87,5690061.55,132.15,0,0,1,Sa3
6512361.87,5690061.55,124.64999999999999,0,0,1,Gr3
6512361.87,5690061.55,120.75,0,0,1,Sa6
6512361.87,5690061.55,119.85,0,0,1,\N
6512361.87,5690061.55,141.65,0,0,1,Sa1b
6512361.87,5690061.55,140.04999999999998,0,0,1,Sa2
6512343.75,5690070.74,145.18,0,0,1,Hu
6512343.75,5690070.74,144.58,0,0,1,Pt
6512343.75,5690070.74,143.48000000000002,0,0,1,orSa1b
6512343.75,5690070.74,143.18,0,0,1,Sa2
6512343.75,5690070.74,139.88,0,0,1,Si3
6512343.75,5690070.74,136.68,0,0,1,Si2
6512343.75,5690070.74,134.78,0,0,1,Si3
6512343.75,5690070.74,133.58,0,0,1,Sa3
6512343.75,5690070.74,132.38,0,0,1,Sa3
6512343.75,5690070.74,126.58000000000001,0,0,1,Sa6
6512343.75,5690070.74,125.08000000000001,0,0,1,Sa6
6512343.75,5690070.74,122.58000000000001,0,0,1,Sa3
6512343.75,5690070.74,120.98,0,0,1,Sa3
6512343.75,5690070.74,120.18,0,0,1,\N
6512343.75,5690070.74,142.38,0,0,1,Sa1b
6512343.75,5690070.74,140.98000000000002,0,0,1,Sa2
6512343.75,5690070.74,136.18,0,0,1,Si3
6512343.75,5690070.74,132.08,0,0,1,Sa3
6512290.17,5690076.32,144.91,0,0,1,Hu
6512290.17,5690076.32,119.91,0,0,1,\N
6512290.17,5690076.32,144.71,0,0,1,Pt
6512290.17,5690076.32,144.10999999999999,0,0,1,Pt
6512290.17,5690076.32,142.71,0,0,1,Sa4b
6512290.17,5690076.32,142.41,0,0,1,Si1
6512290.17,5690076.32,139.01,0,0,1,Si2
6512290.17,5690076.32,135.21,0,0,1,Si3
6512290.17,5690076.32,133.51,0,0,1,Sa3
6512290.17,5690076.32,131.21,0,0,1,Sa3
6512290.17,5690076.32,128.01,0,0,1,Sa6
6512290.17,5690076.32,125.71,0,0,1,Sa6
6512290.17,5690076.32,122.11,0,0,1,Sa5
6512290.17,5690076.32,141.10999999999999,0,0,1,Si2
6512290.17,5690076.32,139.71,0,0,1,Sa4b
6512290.17,5690076.32,138.31,0,0,1,Si3
6512290.17,5690076.32,120.91,0,0,1,Sa6
6512333.44,5690087.13,120.34200000000001,0,0,1,\N
6512333.44,5690087.13,145.342,0,0,1,Hu
6512333.44,5690087.13,140.942,0,0,1,Sa5
6512333.44,5690087.13,130.042,0,0,1,Sa3
6512333.44,5690087.13,127.34200000000001,0,0,1,Sa3
6512333.44,5690087.13,126.44200000000001,0,0,1,Sa2
6512333.44,5690087.13,144.74200000000002,0,0,1,Pt
6512333.44,5690087.13,143.842,0,0,1,Sa1b
6512333.44,5690087.13,143.14200000000002,0,0,1,Sa4b
6512333.44,5690087.13,140.24200000000002,0,0,1,Sa2
6512333.44,5690087.13,139.64200000000002,0,0,1,Si3
6512333.44,5690087.13,137.842,0,0,1,Si3
6512333.44,5690087.13,136.842,0,0,1,Si2
6512333.44,5690087.13,136.14200000000002,0,0,1,Si2
6512333.44,5690087.13,134.842,0,0,1,Si3
6512333.44,5690087.13,132.942,0,0,1,Sa2
6512333.44,5690087.13,129.24200000000002,0,0,1,Sa2
6512333.44,5690087.13,125.54200000000002,0,0,1,Sa5
6512333.44,5690087.13,124.34200000000001,0,0,1,Sa6
6512333.44,5690087.13,123.54200000000002,0,0,1,Cl4
6512333.44,5690087.13,124.94200000000001,0,0,1,Sa6
6512323.55,5690063.99,119.96700000000001,0,0,1,\N
6512323.55,5690063.99,144.967,0,0,1,Hu
6512323.55,5690063.99,144.36700000000002,0,0,1,Pt
6512323.55,5690063.99,143.467,0,0,1,Sa1a
6512323.55,5690063.99,141.967,0,0,1,Sa1b
6512323.55,5690063.99,139.467,0,0,1,Si2
6512323.55,5690063.99,138.86700000000002,0,0,1,Si2
6512323.55,5690063.99,138.167,0,0,1,Si3
6512323.55,5690063.99,137.467,0,0,1,Si3
6512323.55,5690063.99,136.86700000000002,0,0,1,Si2
6512323.55,5690063.99,135.967,0,0,1,Si2
6512323.55,5690063.99,134.36700000000002,0,0,1,Si3
6512323.55,5690063.99,133.76700000000002,0,0,1,Si3
6512323.55,5690063.99,131.667,0,0,1,Sa3
